Target,Event,Mode,TSM,ESM,pl_orbper,pl_rade,pl_Teq
TRAPPIST1e,Transit,NIRSPEC.BOTS+PRISM,19.866512347356,0.190217249773945,6.101013,0.92,249.616411283293
TRAPPIST1e,Transit,NIRSPEC.BOTS+PRISM,19.866512347356,0.190217249773945,6.101013,0.92,249.616411283293
TRAPPIST1e,Transit,NIRSPEC.BOTS+PRISM,19.866512347356,0.190217249773945,6.101013,0.92,249.616411283293
TRAPPIST1e,Transit,NIRSPEC.BOTS+PRISM,19.866512347356,0.190217249773945,6.101013,0.92,249.616411283293
TRAPPIST1e,Transit,NIRSPEC.BOTS+PRISM,19.866512347356,0.190217249773945,6.101013,0.92,249.616411283293
TRAPPIST1f,Transit,NIRISS.SOSS,16.8430081802985,0.0852410356940756,9.20754,1.045,216.817946533853
TRAPPIST1f,Transit,NIRISS.SOSS,16.8430081802985,0.0852410356940756,9.20754,1.045,216.817946533853
TRAPPIST1f,Transit,NIRISS.SOSS,16.8430081802985,0.0852410356940756,9.20754,1.045,216.817946533853
TRAPPIST1f,Transit,NIRISS.SOSS,16.8430081802985,0.0852410356940756,9.20754,1.045,216.817946533853
TRAPPIST1f,Transit,NIRISS.SOSS,16.8430081802985,0.0852410356940756,9.20754,1.045,216.817946533853
TRAPPIST1g,Transit,NIRSPEC.BOTS+PRISM,15.1460684462777,0.0434521278946001,12.352446,1.129,196.57568516986
TRAPPIST1g,Transit,NIRSPEC.BOTS+PRISM,15.1460684462777,0.0434521278946001,12.352446,1.129,196.57568516986
